type,value,comment
ip,168.100.9[.]238,1st level redirectors server
ip,77.105.135[.]48,1st level redirectors server
ip,185.172.128[.]161,1st level redirectors server
ip,206.188.197[.]116,2nd level redirectors server
ip,64.190.113[.]45,2nd level redirectors server
ip,195.85.115[.]36,2nd level redirectors server
ip,195.2.73[.]149,2nd level redirectors server
ip,45.87.41[.]37,Keitaro Tracker server (after CLoudflare)
ip,65.108.158[.]243,Keitaro Tracker server (after CLoudflare)
ip,111.90.146[.]198,Doppelgänger-fabricated website hosting (after Cloudflare)
ip,101.99.90[.]184,Doppelgänger-fabricated website hosting (after Cloudflare)
ip,101.99.90[.]165,Doppelgänger-fabricated website hosting (after Cloudflare)
ip,95.165.66[.]27,CopyCop-fabricated website hosting (after Cloudflare)
ip,46.138.250[.]248,Possible CopyCop-associated server (after Cloudflare)
domain,gatoogeef[.]info,Keitaro Tracker server
domain,cheekss[.]click,Keitaro Tracker server
domain,adudu4d-ayam[.]store,1st level redirector top domain
domain,grabemas[.]store,1st level redirector top domain
domain,101zz[.]store,1st level redirector top domain
domain,100myrtle[.]com,1st level redirector top domain
domain,15mb2vy4z[.]top,1st level redirector top domain
domain,16mbzrw2g2[.]top,1st level redirector top domain
domain,1typ[.]top,1st level redirector top domain
domain,27488877[.]com,1st level redirector top domain
domain,2k3o[.]top,1st level redirector top domain
domain,5pjj5[.]top,1st level redirector top domain
domain,69set4[.]fun,1st level redirector top domain
domain,82604433[.]com,1st level redirector top domain
domain,abouhaus[.]shop,1st level redirector top domain
domain,aceofdigital[.]xyz,1st level redirector top domain
domain,acrobatuk[.]shop,1st level redirector top domain
domain,adobepl[.]shop,1st level redirector top domain
domain,adumtree[.]co[.]uk,1st level redirector top domain
domain,africanherbaloil[.]xyz,1st level redirector top domain
domain,aicaitwss[.]online,1st level redirector top domain
domain,aiedge[.]green,1st level redirector top domain
domain,aipro[.]community,1st level redirector top domain
domain,akagami75[.]shop,1st level redirector top domain
domain,akagami95[.]shop,1st level redirector top domain
domain,akhilsmm[.]shop,1st level redirector top domain
domain,alanwake7[.]website,1st level redirector top domain
domain,alieninsider[.]online,1st level redirector top domain
domain,ambatukam45[.]shop,1st level redirector top domain
domain,andonelebron[.]click,1st level redirector top domain
domain,anehociak5[.]click,1st level redirector top domain
domain,anesongbosio207[.]click,1st level redirector top domain
domain,anesongbosio226[.]click,1st level redirector top domain
domain,antsleveler[.]com,1st level redirector top domain
domain,anybodyfornow[.]live,1st level redirector top domain
domain,arabiandates[.]shop,1st level redirector top domain
domain,aratox[.]shop,1st level redirector top domain
domain,asas[.]blog,1st level redirector top domain
domain,asvam[.]top,1st level redirector top domain
domain,auas[.]krd,1st level redirector top domain
