type,value,comment
sha-256,4787fe23a4ba66137e41d6caa877251092a7f4957ccd89ed374b71aa6f6e2037,"PteroLNK VBScript, ~.drv"
filepath,%USERPROFILE%\boot.ini,"PteroLNK"
filepath,%TEMP%\councilmanxzF.mpeg,"Temporary file containing C2 IP"
filepath,%TEMP%\overX5c.mpeg,"Temporary file containing C2 URL"
domain,estaca[.]ru,"Gamaredon C2"
domain,lafuritte[.]ru,"Gamaredon C2"
domain,leobard[.]ru,"Gamaredon C2"
domain,letsgout[.]ru,"Gamaredon C2"
domain,mekras[.]ru,"Gamaredon C2"
domain,cxcvbs[.]ru,"Gamaredon C2"
hostname,7bqv8fz8-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,preferences-wider-court-gods.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,language-noise-rev-sound.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,see-incorporate-express-dosage.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,3b84tfjk-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,uaeuscplq.1472jade.workers[.]dev,"Cloudflare workers"
hostname,ps10fjn9-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,karaoke-founded-administration-exists.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,perspectives-reliable-kept-coleman.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,3r8hfqng-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,xwflw3w4-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,kb6n0f2v-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,august-kansas-recognised-stood.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,asprqdcylr.violetfinancial.workers[.]dev,"Cloudflare workers"
hostname,vzyahdwsd.alamedamoccasin.workers[.]dev,"Cloudflare workers"
hostname,shell-lived-striking-committed.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,it-centuries-accounts-catalog.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,americans-tragedy-screw-classic.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,pmdj00k2-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,influenced-mold-estonia-diversity.trycloudflare[.]com,"Cloudflare quick tunnel"
