# Hashes (SHA-256)
4787fe23a4ba66137e41d6caa877251092a7f4957ccd89ed374b71aa6f6e2037|PteroLNK VBScript, ~.drv

# File paths
%USERPROFILE%\boot.ini|PteroLNK
%TEMP%\councilmanxzF.mpeg|Temporary file containing C2 IP
%TEMP%\overX5c.mpeg|Temporary file containing C2 URL

# Domains
estaca[.]ru|Gamaredon C2
lafuritte[.]ru|Gamaredon C2
leobard[.]ru|Gamaredon C2
letsgout[.]ru|Gamaredon C2
mekras[.]ru|Gamaredon C2
cxcvbs[.]ru|Gamaredon C2

# Hostnames
7bqv8fz8-80.euw.devtunnels[.]ms|Microsoft dev tunnels
preferences-wider-court-gods.trycloudflare[.]com|Cloudflare quick tunnel
language-noise-rev-sound.trycloudflare[.]com|Cloudflare quick tunnel
see-incorporate-express-dosage.trycloudflare[.]com|Cloudflare quick tunnel
3b84tfjk-80.euw.devtunnels[.]ms|Microsoft dev tunnels
uaeuscplq.1472jade.workers[.]dev|Cloudflare workers
ps10fjn9-80.euw.devtunnels[.]ms|Microsoft dev tunnels
karaoke-founded-administration-exists.trycloudflare[.]com|Cloudflare quick tunnel
perspectives-reliable-kept-coleman.trycloudflare[.]com|Cloudflare quick tunnel
3r8hfqng-80.euw.devtunnels[.]ms|Microsoft dev tunnels
xwflw3w4-80.euw.devtunnels[.]ms|Microsoft dev tunnels
kb6n0f2v-80.euw.devtunnels[.]ms|Microsoft dev tunnels
august-kansas-recognised-stood.trycloudflare[.]com|Cloudflare quick tunnel
asprqdcylr.violetfinancial.workers[.]dev|Cloudflare workers
vzyahdwsd.alamedamoccasin.workers[.]dev|Cloudflare workers
shell-lived-striking-committed.trycloudflare[.]com|Cloudflare quick tunnel
it-centuries-accounts-catalog.trycloudflare[.]com|Cloudflare quick tunnel
americans-tragedy-screw-classic.trycloudflare[.]com|Cloudflare quick tunnel
pmdj00k2-80.euw.devtunnels[.]ms|Microsoft dev tunnels
influenced-mold-estonia-diversity.trycloudflare[.]com|Cloudflare quick tunnel
targeted-aerial-caution-jose.trycloudflare[.]com|Cloudflare quick tunnel
dt-minute-clip-shoes.trycloudflare[.]com|Cloudflare quick tunnel
1lmm0g2h-80.euw.devtunnels[.]ms|Microsoft dev tunnels
5z99mjtj-80.euw.devtunnels[.]ms|Microsoft dev tunnels
ladies-instantly-shepherd-everyone.trycloudflare[.]com|Cloudflare quick tunnel
kk2kbpx1-80.euw.devtunnels[.]ms|Microsoft dev tunnels
assume-rx-tariff-dryer.trycloudflare[.]com|Cloudflare quick tunnel
discussed-transformation-influenced-predictions.trycloudflare[.]com|Cloudflare quick tunnel
trends-strongly-lit-cooper.trycloudflare[.]com|Cloudflare quick tunnel
cfs53gbc-80.euw.devtunnels[.]ms|Microsoft dev tunnels
3wsv2079-80.euw.devtunnels[.]ms|Microsoft dev tunnels
cvn7bs5h-80.euw.devtunnels[.]ms|Microsoft dev tunnels
scenario-motors-six-sitting.trycloudflare[.]com|Cloudflare quick tunnel
